indice_original,categoria_real,prediccion_v1_0,prediccion_v1_1,correcta_v1_0,correcta_v1_1,prediccion_cambio,corregido_por_v1_1,empeorado_por_v1_1
3125,cloud,cloud,cloud,True,True,False,False,False
1439,backend,backend,backend,True,True,False,False,False
1443,frontend,frontend,frontend,True,True,False,False,False
623,cloud,datascience,datascience,False,False,False,False,False
2925,cloud,cloud,cloud,True,True,False,False,False
75,cloud,cloud,cloud,True,True,False,False,False
2000,frontend,frontend,frontend,True,True,False,False,False
449,frontend,frontend,frontend,True,True,False,False,False
4470,cloud,cloud,cloud,True,True,False,False,False
2842,backend,backend,backend,True,True,False,False,False
588,datascience,datascience,datascience,True,True,False,False,False
1677,frontend,frontend,frontend,True,True,False,False,False
4537,cloud,datascience,datascience,False,False,False,False,False
67,datascience,datascience,datascience,True,True,False,False,False
3214,backend,backend,backend,True,True,False,False,False
123,frontend,frontend,frontend,True,True,False,False,False
1332,frontend,frontend,frontend,True,True,False,False,False
2202,cloud,cloud,cloud,True,True,False,False,False
2017,cloud,cloud,cloud,True,True,False,False,False
1933,datascience,datascience,datascience,True,True,False,False,False
2045,cloud,cloud,cloud,True,True,False,False,False
3017,backend,backend,backend,True,True,False,False,False
1685,datascience,datascience,datascience,True,True,False,False,False
3242,backend,backend,backend,True,True,False,False,False
1477,frontend,frontend,frontend,True,True,False,False,False
4250,datascience,datascience,datascience,True,True,False,False,False
1583,backend,backend,backend,True,True,False,False,False
1342,frontend,frontend,frontend,True,True,False,False,False
1131,datascience,datascience,datascience,True,True,False,False,False
2370,cloud,cloud,cloud,True,True,False,False,False
2951,backend,backend,backend,True,True,False,False,False
1098,frontend,backend,backend,False,False,False,False,False
4572,frontend,frontend,frontend,True,True,False,False,False
1084,cloud,backend,backend,False,False,False,False,False
3955,cloud,cloud,cloud,True,True,False,False,False
4041,frontend,frontend,frontend,True,True,False,False,False
4059,frontend,frontend,frontend,True,True,False,False,False
441,datascience,datascience,datascience,True,True,False,False,False
676,cloud,cloud,cloud,True,True,False,False,False
2338,backend,backend,backend,True,True,False,False,False
2490,frontend,frontend,frontend,True,True,False,False,False
1916,datascience,datascience,datascience,True,True,False,False,False
1435,frontend,frontend,frontend,True,True,False,False,False
2686,cloud,frontend,frontend,False,False,False,False,False
414,frontend,frontend,frontend,True,True,False,False,False
1530,cloud,cloud,cloud,True,True,False,False,False
2461,cloud,cloud,cloud,True,True,False,False,False
4224,frontend,frontend,frontend,True,True,False,False,False
1068,datascience,datascience,datascience,True,True,False,False,False
4564,cloud,cloud,cloud,True,True,False,False,False
4438,cloud,cloud,cloud,True,True,False,False,False
837,frontend,frontend,frontend,True,True,False,False,False
1245,backend,cloud,backend,False,True,True,True,False
1647,datascience,datascience,datascience,True,True,False,False,False
166,cloud,backend,cloud,False,True,True,True,False
2374,datascience,datascience,datascience,True,True,False,False,False
186,datascience,datascience,datascience,True,True,False,False,False
1202,frontend,frontend,frontend,True,True,False,False,False
3022,frontend,frontend,frontend,True,True,False,False,False
1248,frontend,frontend,frontend,True,True,False,False,False
674,frontend,frontend,frontend,True,True,False,False,False
4362,datascience,backend,backend,False,False,False,False,False
2625,datascience,datascience,datascience,True,True,False,False,False
3322,cloud,cloud,cloud,True,True,False,False,False
2047,datascience,datascience,datascience,True,True,False,False,False
576,cloud,cloud,cloud,True,True,False,False,False
3013,datascience,datascience,datascience,True,True,False,False,False
2322,cloud,cloud,cloud,True,True,False,False,False
1684,frontend,frontend,frontend,True,True,False,False,False
4390,frontend,frontend,frontend,True,True,False,False,False
1414,backend,backend,backend,True,True,False,False,False
4580,cloud,cloud,cloud,True,True,False,False,False
3788,cloud,cloud,cloud,True,True,False,False,False
323,backend,backend,backend,True,True,False,False,False
3917,frontend,frontend,frontend,True,True,False,False,False
3404,cloud,datascience,datascience,False,False,False,False,False
948,datascience,datascience,datascience,True,True,False,False,False
707,datascience,datascience,datascience,True,True,False,False,False
3147,datascience,cloud,datascience,False,True,True,True,False
2975,datascience,datascience,datascience,True,True,False,False,False
4070,datascience,datascience,datascience,True,True,False,False,False
4555,frontend,frontend,frontend,True,True,False,False,False
3816,datascience,datascience,datascience,True,True,False,False,False
2500,frontend,datascience,frontend,False,True,True,True,False
3036,cloud,cloud,cloud,True,True,False,False,False
3114,cloud,cloud,cloud,True,True,False,False,False
418,datascience,datascience,datascience,True,True,False,False,False
1025,backend,backend,backend,True,True,False,False,False
3326,frontend,frontend,frontend,True,True,False,False,False
3358,backend,backend,backend,True,True,False,False,False
3793,cloud,cloud,cloud,True,True,False,False,False
3136,backend,frontend,frontend,False,False,False,False,False
1884,datascience,datascience,datascience,True,True,False,False,False
871,datascience,datascience,datascience,True,True,False,False,False
1852,cloud,cloud,cloud,True,True,False,False,False
4003,backend,backend,backend,True,True,False,False,False
3098,cloud,cloud,cloud,True,True,False,False,False
913,frontend,frontend,frontend,True,True,False,False,False
4279,backend,backend,backend,True,True,False,False,False
3291,frontend,frontend,frontend,True,True,False,False,False
2381,backend,backend,backend,True,True,False,False,False
300,cloud,backend,backend,False,False,False,False,False
618,cloud,cloud,cloud,True,True,False,False,False
3070,frontend,frontend,frontend,True,True,False,False,False
259,frontend,frontend,cloud,True,False,True,False,True
118,backend,backend,backend,True,True,False,False,False
3151,datascience,datascience,datascience,True,True,False,False,False
706,backend,backend,backend,True,True,False,False,False
2569,datascience,datascience,datascience,True,True,False,False,False
4447,cloud,backend,backend,False,False,False,False,False
4071,datascience,cloud,datascience,False,True,True,True,False
3281,frontend,cloud,cloud,False,False,False,False,False
1938,datascience,backend,backend,False,False,False,False,False
840,backend,backend,backend,True,True,False,False,False
1635,datascience,datascience,datascience,True,True,False,False,False
3251,frontend,frontend,frontend,True,True,False,False,False
2677,backend,backend,backend,True,True,False,False,False
448,backend,backend,backend,True,True,False,False,False
1998,datascience,frontend,datascience,False,True,True,True,False
3679,cloud,cloud,backend,True,False,True,False,True
3553,frontend,frontend,frontend,True,True,False,False,False
296,frontend,frontend,frontend,True,True,False,False,False
3714,backend,cloud,cloud,False,False,False,False,False
2009,frontend,frontend,frontend,True,True,False,False,False
4339,backend,backend,frontend,True,False,True,False,True
2522,backend,backend,backend,True,True,False,False,False
1032,cloud,backend,backend,False,False,False,False,False
712,backend,frontend,frontend,False,False,False,False,False
3167,cloud,cloud,cloud,True,True,False,False,False
3096,cloud,cloud,cloud,True,True,False,False,False
2155,cloud,cloud,cloud,True,True,False,False,False
1983,backend,frontend,frontend,False,False,False,False,False
3902,datascience,cloud,cloud,False,False,False,False,False
1554,cloud,cloud,cloud,True,True,False,False,False
1442,frontend,frontend,frontend,True,True,False,False,False
2662,backend,backend,backend,True,True,False,False,False
3382,cloud,cloud,cloud,True,True,False,False,False
2973,frontend,frontend,frontend,True,True,False,False,False
3143,backend,backend,backend,True,True,False,False,False
3005,backend,backend,backend,True,True,False,False,False
4342,backend,backend,backend,True,True,False,False,False
846,backend,backend,frontend,True,False,True,False,True
1537,backend,backend,backend,True,True,False,False,False
1164,cloud,cloud,cloud,True,True,False,False,False
3438,backend,datascience,datascience,False,False,False,False,False
3672,frontend,frontend,frontend,True,True,False,False,False
2036,datascience,datascience,datascience,True,True,False,False,False
1836,backend,backend,cloud,True,False,True,False,True
1223,frontend,frontend,frontend,True,True,False,False,False
1586,datascience,datascience,datascience,True,True,False,False,False
792,backend,backend,backend,True,True,False,False,False
2728,frontend,frontend,cloud,True,False,True,False,True
65,frontend,frontend,frontend,True,True,False,False,False
1297,cloud,backend,cloud,False,True,True,True,False
1278,backend,backend,backend,True,True,False,False,False
2445,cloud,cloud,cloud,True,True,False,False,False
2089,cloud,cloud,cloud,True,True,False,False,False
1314,backend,backend,backend,True,True,False,False,False
1461,backend,backend,backend,True,True,False,False,False
4092,datascience,datascience,datascience,True,True,False,False,False
2209,backend,backend,backend,True,True,False,False,False
770,datascience,datascience,datascience,True,True,False,False,False
3632,backend,backend,backend,True,True,False,False,False
2689,cloud,cloud,cloud,True,True,False,False,False
452,cloud,cloud,cloud,True,True,False,False,False
1650,frontend,frontend,frontend,True,True,False,False,False
1837,datascience,datascience,datascience,True,True,False,False,False
2995,cloud,cloud,cloud,True,True,False,False,False
2597,cloud,cloud,cloud,True,True,False,False,False
2907,datascience,datascience,datascience,True,True,False,False,False
3939,backend,backend,backend,True,True,False,False,False
1672,datascience,datascience,datascience,True,True,False,False,False
2440,datascience,datascience,datascience,True,True,False,False,False
3922,backend,backend,backend,True,True,False,False,False
689,frontend,frontend,frontend,True,True,False,False,False
1811,frontend,frontend,frontend,True,True,False,False,False
930,cloud,cloud,cloud,True,True,False,False,False
678,datascience,backend,backend,False,False,False,False,False
3716,backend,backend,backend,True,True,False,False,False
3219,datascience,datascience,datascience,True,True,False,False,False
1735,frontend,frontend,frontend,True,True,False,False,False
337,datascience,frontend,datascience,False,True,True,True,False
2525,datascience,datascience,datascience,True,True,False,False,False
4384,datascience,backend,backend,False,False,False,False,False
1710,datascience,datascience,datascience,True,True,False,False,False
349,backend,datascience,datascience,False,False,False,False,False
2341,cloud,cloud,cloud,True,True,False,False,False
1080,backend,backend,backend,True,True,False,False,False
143,cloud,cloud,cloud,True,True,False,False,False
1541,frontend,frontend,frontend,True,True,False,False,False
3555,frontend,frontend,frontend,True,True,False,False,False
655,cloud,cloud,cloud,True,True,False,False,False
1797,frontend,frontend,frontend,True,True,False,False,False
2969,backend,backend,backend,True,True,False,False,False
3111,datascience,datascience,datascience,True,True,False,False,False
3776,datascience,datascience,datascience,True,True,False,False,False
1485,datascience,frontend,frontend,False,False,False,False,False
4432,cloud,cloud,cloud,True,True,False,False,False
2952,cloud,cloud,cloud,True,True,False,False,False
1327,datascience,datascience,datascience,True,True,False,False,False
2437,frontend,frontend,frontend,True,True,False,False,False
1310,backend,backend,backend,True,True,False,False,False
1971,frontend,frontend,frontend,True,True,False,False,False
670,frontend,frontend,frontend,True,True,False,False,False
2499,backend,backend,backend,True,True,False,False,False
969,datascience,datascience,datascience,True,True,False,False,False
4391,cloud,cloud,cloud,True,True,False,False,False
530,backend,backend,backend,True,True,False,False,False
2786,backend,backend,backend,True,True,False,False,False
2364,datascience,datascience,datascience,True,True,False,False,False
2026,backend,backend,backend,True,True,False,False,False
3039,cloud,cloud,cloud,True,True,False,False,False
2265,cloud,cloud,cloud,True,True,False,False,False
728,frontend,frontend,frontend,True,True,False,False,False
2690,datascience,datascience,datascience,True,True,False,False,False
354,cloud,cloud,cloud,True,True,False,False,False
2886,cloud,cloud,cloud,True,True,False,False,False
3210,backend,backend,backend,True,True,False,False,False
358,datascience,datascience,datascience,True,True,False,False,False
3765,backend,frontend,datascience,False,False,True,False,False
2693,datascience,cloud,cloud,False,False,False,False,False
2931,frontend,frontend,frontend,True,True,False,False,False
616,datascience,frontend,datascience,False,True,True,True,False
3677,cloud,cloud,cloud,True,True,False,False,False
3282,backend,frontend,frontend,False,False,False,False,False
1242,datascience,datascience,datascience,True,True,False,False,False
1660,cloud,cloud,cloud,True,True,False,False,False
4202,backend,backend,backend,True,True,False,False,False
729,cloud,cloud,cloud,True,True,False,False,False
1251,datascience,cloud,cloud,False,False,False,False,False
2503,datascience,datascience,datascience,True,True,False,False,False
3373,cloud,backend,backend,False,False,False,False,False
125,cloud,cloud,cloud,True,True,False,False,False
4228,backend,cloud,cloud,False,False,False,False,False
1775,datascience,datascience,datascience,True,True,False,False,False
4119,datascience,datascience,datascience,True,True,False,False,False
3055,backend,backend,backend,True,True,False,False,False
2922,cloud,cloud,cloud,True,True,False,False,False
336,cloud,cloud,cloud,True,True,False,False,False
954,datascience,datascience,datascience,True,True,False,False,False
1260,backend,backend,backend,True,True,False,False,False
1841,frontend,backend,backend,False,False,False,False,False
4457,backend,cloud,backend,False,True,True,True,False
1935,cloud,cloud,cloud,True,True,False,False,False
1386,cloud,cloud,cloud,True,True,False,False,False
477,backend,backend,backend,True,True,False,False,False
4149,frontend,frontend,frontend,True,True,False,False,False
4178,datascience,datascience,datascience,True,True,False,False,False
2119,frontend,frontend,frontend,True,True,False,False,False
681,backend,backend,backend,True,True,False,False,False
4290,cloud,cloud,cloud,True,True,False,False,False
2165,backend,backend,backend,True,True,False,False,False
2104,datascience,datascience,datascience,True,True,False,False,False
4207,backend,backend,backend,True,True,False,False,False
34,cloud,cloud,cloud,True,True,False,False,False
4448,datascience,datascience,datascience,True,True,False,False,False
647,cloud,cloud,cloud,True,True,False,False,False
1792,datascience,datascience,datascience,True,True,False,False,False
62,backend,frontend,cloud,False,False,True,False,False
1150,frontend,backend,frontend,False,True,True,True,False
240,frontend,backend,backend,False,False,False,False,False
1071,backend,backend,backend,True,True,False,False,False
2929,datascience,backend,datascience,False,True,True,True,False
3273,backend,backend,backend,True,True,False,False,False
1999,datascience,datascience,datascience,True,True,False,False,False
4429,frontend,frontend,frontend,True,True,False,False,False
4079,backend,backend,backend,True,True,False,False,False
1671,backend,frontend,frontend,False,False,False,False,False
1597,datascience,datascience,datascience,True,True,False,False,False
2044,backend,backend,cloud,True,False,True,False,True
332,datascience,datascience,datascience,True,True,False,False,False
1594,datascience,datascience,datascience,True,True,False,False,False
3423,frontend,frontend,frontend,True,True,False,False,False
3231,frontend,frontend,frontend,True,True,False,False,False
434,datascience,datascience,datascience,True,True,False,False,False
904,backend,backend,backend,True,True,False,False,False
2784,frontend,frontend,frontend,True,True,False,False,False
3116,datascience,datascience,datascience,True,True,False,False,False
4435,frontend,backend,backend,False,False,False,False,False
3796,cloud,backend,backend,False,False,False,False,False
2301,datascience,datascience,datascience,True,True,False,False,False
1977,frontend,frontend,frontend,True,True,False,False,False
3062,backend,backend,backend,True,True,False,False,False
1226,cloud,cloud,cloud,True,True,False,False,False
3800,cloud,backend,backend,False,False,False,False,False
619,cloud,cloud,cloud,True,True,False,False,False
3252,frontend,frontend,frontend,True,True,False,False,False
4439,cloud,cloud,cloud,True,True,False,False,False
4421,backend,frontend,frontend,False,False,False,False,False
3159,datascience,datascience,datascience,True,True,False,False,False
55,backend,backend,backend,True,True,False,False,False
3180,cloud,backend,cloud,False,True,True,True,False
4474,backend,backend,backend,True,True,False,False,False
2098,cloud,cloud,cloud,True,True,False,False,False
1874,backend,cloud,cloud,False,False,False,False,False
2729,backend,backend,backend,True,True,False,False,False
1979,cloud,cloud,cloud,True,True,False,False,False
909,frontend,frontend,frontend,True,True,False,False,False
890,backend,backend,backend,True,True,False,False,False
1565,backend,backend,backend,True,True,False,False,False
4045,backend,backend,backend,True,True,False,False,False
2578,datascience,datascience,datascience,True,True,False,False,False
2355,frontend,frontend,frontend,True,True,False,False,False
3468,frontend,frontend,frontend,True,True,False,False,False
2487,frontend,frontend,frontend,True,True,False,False,False
1538,backend,frontend,frontend,False,False,False,False,False
2452,backend,backend,backend,True,True,False,False,False
2871,frontend,backend,datascience,False,False,True,False,False
3688,frontend,frontend,frontend,True,True,False,False,False
3347,frontend,frontend,frontend,True,True,False,False,False
2162,frontend,frontend,frontend,True,True,False,False,False
2815,datascience,cloud,cloud,False,False,False,False,False
1349,datascience,datascience,datascience,True,True,False,False,False
4043,cloud,cloud,cloud,True,True,False,False,False
2580,cloud,cloud,cloud,True,True,False,False,False
3746,frontend,frontend,frontend,True,True,False,False,False
3973,datascience,datascience,datascience,True,True,False,False,False
104,frontend,frontend,frontend,True,True,False,False,False
1601,frontend,frontend,frontend,True,True,False,False,False
2727,frontend,frontend,frontend,True,True,False,False,False
4018,datascience,datascience,datascience,True,True,False,False,False
711,cloud,cloud,cloud,True,True,False,False,False
2172,frontend,datascience,datascience,False,False,False,False,False
2117,frontend,frontend,frontend,True,True,False,False,False
512,cloud,cloud,cloud,True,True,False,False,False
1579,backend,backend,datascience,True,False,True,False,True
4312,backend,backend,backend,True,True,False,False,False
2937,backend,backend,backend,True,True,False,False,False
3422,backend,backend,backend,True,True,False,False,False
4087,cloud,cloud,cloud,True,True,False,False,False
4461,frontend,backend,backend,False,False,False,False,False
3277,backend,backend,backend,True,True,False,False,False
4075,cloud,cloud,cloud,True,True,False,False,False
1398,datascience,datascience,datascience,True,True,False,False,False
3706,cloud,cloud,cloud,True,True,False,False,False
734,frontend,frontend,frontend,True,True,False,False,False
1391,frontend,frontend,frontend,True,True,False,False,False
3931,backend,backend,backend,True,True,False,False,False
127,datascience,datascience,datascience,True,True,False,False,False
168,cloud,cloud,cloud,True,True,False,False,False
49,datascience,datascience,datascience,True,True,False,False,False
1704,frontend,frontend,frontend,True,True,False,False,False
2898,cloud,cloud,cloud,True,True,False,False,False
3735,backend,frontend,frontend,False,False,False,False,False
182,backend,backend,backend,True,True,False,False,False
1738,backend,backend,backend,True,True,False,False,False
4027,cloud,cloud,cloud,True,True,False,False,False
2896,cloud,cloud,cloud,True,True,False,False,False
3428,datascience,backend,backend,False,False,False,False,False
1864,cloud,cloud,cloud,True,True,False,False,False
3695,frontend,frontend,frontend,True,True,False,False,False
1789,cloud,cloud,cloud,True,True,False,False,False
3211,datascience,datascience,datascience,True,True,False,False,False
1909,datascience,frontend,frontend,False,False,False,False,False
405,cloud,cloud,cloud,True,True,False,False,False
1771,datascience,datascience,datascience,True,True,False,False,False
950,cloud,cloud,cloud,True,True,False,False,False
3365,datascience,datascience,datascience,True,True,False,False,False
3983,cloud,cloud,cloud,True,True,False,False,False
3126,datascience,datascience,datascience,True,True,False,False,False
4153,backend,backend,backend,True,True,False,False,False
1899,backend,backend,backend,True,True,False,False,False
274,datascience,datascience,datascience,True,True,False,False,False
1551,backend,backend,backend,True,True,False,False,False
3724,datascience,datascience,datascience,True,True,False,False,False
4402,datascience,frontend,backend,False,False,True,False,False
1159,cloud,cloud,cloud,True,True,False,False,False
3977,cloud,cloud,cloud,True,True,False,False,False
3091,cloud,backend,cloud,False,True,True,True,False
3501,cloud,backend,backend,False,False,False,False,False
984,datascience,datascience,datascience,True,True,False,False,False
3794,backend,cloud,backend,False,True,True,True,False
2579,datascience,datascience,datascience,True,True,False,False,False
2938,frontend,frontend,frontend,True,True,False,False,False
4518,backend,backend,backend,True,True,False,False,False
2774,backend,backend,backend,True,True,False,False,False
3851,frontend,frontend,frontend,True,True,False,False,False
2818,backend,backend,backend,True,True,False,False,False
3004,datascience,datascience,datascience,True,True,False,False,False
1367,backend,backend,backend,True,True,False,False,False
4094,backend,backend,backend,True,True,False,False,False
2289,cloud,cloud,cloud,True,True,False,False,False
798,cloud,cloud,cloud,True,True,False,False,False
1515,cloud,cloud,cloud,True,True,False,False,False
1630,cloud,frontend,cloud,False,True,True,True,False
1394,frontend,backend,cloud,False,False,True,False,False
2821,frontend,backend,backend,False,False,False,False,False
3269,datascience,datascience,datascience,True,True,False,False,False
3480,datascience,datascience,datascience,True,True,False,False,False
4340,cloud,cloud,frontend,True,False,True,False,True
4021,datascience,datascience,datascience,True,True,False,False,False
2425,datascience,datascience,datascience,True,True,False,False,False
517,backend,backend,backend,True,True,False,False,False
2712,frontend,frontend,frontend,True,True,False,False,False
2552,cloud,datascience,datascience,False,False,False,False,False
1213,frontend,frontend,frontend,True,True,False,False,False
485,backend,backend,backend,True,True,False,False,False
2547,backend,backend,backend,True,True,False,False,False
121,frontend,frontend,frontend,True,True,False,False,False
3904,frontend,frontend,frontend,True,True,False,False,False
733,frontend,frontend,frontend,True,True,False,False,False
4056,frontend,frontend,frontend,True,True,False,False,False
546,datascience,datascience,datascience,True,True,False,False,False
476,backend,backend,backend,True,True,False,False,False
1379,frontend,frontend,frontend,True,True,False,False,False
2614,backend,backend,backend,True,True,False,False,False
3881,backend,backend,backend,True,True,False,False,False
4244,frontend,frontend,frontend,True,True,False,False,False
2148,datascience,datascience,datascience,True,True,False,False,False
1455,frontend,frontend,backend,True,False,True,False,True
1883,cloud,cloud,cloud,True,True,False,False,False
403,backend,backend,backend,True,True,False,False,False
537,datascience,datascience,datascience,True,True,False,False,False
1043,datascience,datascience,datascience,True,True,False,False,False
1832,backend,backend,backend,True,True,False,False,False
3185,frontend,frontend,frontend,True,True,False,False,False
737,backend,backend,backend,True,True,False,False,False
1122,frontend,frontend,frontend,True,True,False,False,False
1020,frontend,frontend,frontend,True,True,False,False,False
1137,datascience,cloud,cloud,False,False,False,False,False
28,backend,backend,backend,True,True,False,False,False
3738,cloud,cloud,cloud,True,True,False,False,False
3193,datascience,datascience,datascience,True,True,False,False,False
4349,datascience,datascience,datascience,True,True,False,False,False
3456,backend,backend,backend,True,True,False,False,False
1686,datascience,backend,frontend,False,False,True,False,False
1338,frontend,frontend,frontend,True,True,False,False,False
3574,cloud,datascience,datascience,False,False,False,False,False
599,cloud,cloud,cloud,True,True,False,False,False
2648,frontend,frontend,frontend,True,True,False,False,False
2379,frontend,frontend,frontend,True,True,False,False,False
3699,frontend,frontend,frontend,True,True,False,False,False
1952,backend,backend,backend,True,True,False,False,False
3402,backend,backend,frontend,True,False,True,False,True
1475,backend,backend,backend,True,True,False,False,False
3570,frontend,frontend,frontend,True,True,False,False,False
137,cloud,frontend,frontend,False,False,False,False,False
3369,datascience,datascience,datascience,True,True,False,False,False
236,datascience,datascience,datascience,True,True,False,False,False
3862,backend,backend,backend,True,True,False,False,False
3631,datascience,datascience,datascience,True,True,False,False,False
880,frontend,frontend,frontend,True,True,False,False,False
3947,cloud,cloud,cloud,True,True,False,False,False
1912,frontend,backend,cloud,False,False,True,False,False
4156,cloud,cloud,cloud,True,True,False,False,False
2076,cloud,backend,backend,False,False,False,False,False
51,cloud,cloud,cloud,True,True,False,False,False
2633,backend,backend,backend,True,True,False,False,False
2540,frontend,frontend,frontend,True,True,False,False,False
585,cloud,cloud,cloud,True,True,False,False,False
2741,cloud,cloud,cloud,True,True,False,False,False
2252,backend,datascience,datascience,False,False,False,False,False
3988,backend,backend,backend,True,True,False,False,False
1604,frontend,datascience,datascience,False,False,False,False,False
1703,datascience,datascience,datascience,True,True,False,False,False
2384,datascience,datascience,datascience,True,True,False,False,False
3415,cloud,cloud,cloud,True,True,False,False,False
3380,frontend,frontend,frontend,True,True,False,False,False
612,frontend,frontend,frontend,True,True,False,False,False
320,datascience,datascience,datascience,True,True,False,False,False
654,datascience,datascience,datascience,True,True,False,False,False
3888,cloud,cloud,cloud,True,True,False,False,False
2906,backend,backend,backend,True,True,False,False,False
1765,datascience,datascience,datascience,True,True,False,False,False
848,backend,backend,backend,True,True,False,False,False
2408,frontend,frontend,frontend,True,True,False,False,False
1472,cloud,cloud,cloud,True,True,False,False,False
3434,frontend,frontend,frontend,True,True,False,False,False
4301,datascience,frontend,frontend,False,False,False,False,False
4167,backend,datascience,datascience,False,False,False,False,False
650,backend,backend,backend,True,True,False,False,False
2131,cloud,backend,backend,False,False,False,False,False
4326,datascience,datascience,datascience,True,True,False,False,False
3484,backend,backend,backend,True,True,False,False,False
2974,backend,backend,backend,True,True,False,False,False
2926,frontend,backend,backend,False,False,False,False,False
2097,backend,cloud,cloud,False,False,False,False,False
442,frontend,cloud,cloud,False,False,False,False,False
2596,frontend,frontend,frontend,True,True,False,False,False
2619,cloud,cloud,cloud,True,True,False,False,False
1956,cloud,cloud,cloud,True,True,False,False,False
2200,frontend,backend,cloud,False,False,True,False,False
3183,cloud,cloud,cloud,True,True,False,False,False
2762,cloud,cloud,cloud,True,True,False,False,False
101,backend,backend,backend,True,True,False,False,False
3841,frontend,frontend,frontend,True,True,False,False,False
3043,frontend,frontend,frontend,True,True,False,False,False
4411,frontend,frontend,frontend,True,True,False,False,False
295,cloud,cloud,cloud,True,True,False,False,False
1728,cloud,cloud,frontend,True,False,True,False,True
2987,frontend,frontend,frontend,True,True,False,False,False
3586,frontend,frontend,frontend,True,True,False,False,False
2025,datascience,datascience,datascience,True,True,False,False,False
2532,backend,backend,backend,True,True,False,False,False
4480,cloud,cloud,cloud,True,True,False,False,False
939,frontend,frontend,frontend,True,True,False,False,False
1473,backend,frontend,frontend,False,False,False,False,False
3145,cloud,cloud,cloud,True,True,False,False,False
3999,frontend,cloud,cloud,False,False,False,False,False
3176,backend,backend,backend,True,True,False,False,False
2859,cloud,cloud,cloud,True,True,False,False,False
4117,backend,backend,backend,True,True,False,False,False
459,backend,backend,backend,True,True,False,False,False
3673,frontend,frontend,frontend,True,True,False,False,False
4417,cloud,cloud,cloud,True,True,False,False,False
552,datascience,datascience,datascience,True,True,False,False,False
1181,cloud,cloud,cloud,True,True,False,False,False
4116,backend,datascience,datascience,False,False,False,False,False
3563,frontend,frontend,frontend,True,True,False,False,False
3405,backend,backend,backend,True,True,False,False,False
1955,cloud,cloud,cloud,True,True,False,False,False
3181,backend,backend,backend,True,True,False,False,False
2048,cloud,cloud,cloud,True,True,False,False,False
1127,frontend,backend,cloud,False,False,True,False,False
2589,cloud,frontend,frontend,False,False,False,False,False
2732,backend,cloud,cloud,False,False,False,False,False
3061,datascience,datascience,datascience,True,True,False,False,False
4532,cloud,cloud,cloud,True,True,False,False,False
2835,datascience,datascience,datascience,True,True,False,False,False
